Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
20	13:06:22.457	00:00:00.019	0	689,8359	-298,4081	0,60101	0,5277631	639,6167	3,892242	0	692,3513	-419,2715	0,3617622	0,5330951	652,6046	3,861176	0	0	691	-359						No media	0	1280	1024	0	0	690	-357	199	0	Content		691	-359	19859	2885839913	
40	13:06:22.477	00:00:00.039	1	682,4749	-297,4089	0,5996171	0,5285398	641,2524	3,826833	0	688,5822	-422,3387	0,3603418	0,533394	653,1202	3,842699	0	0	686	-360						No media	0	1280	1024	0	0	690	-357	199	0	Content		686	-360	39853	2885859907	
60	13:06:22.497	00:00:00.059	2	690,1732	-303,2722	0,5981813	0,5295431	642,9366	3,886651	0	688,368	-402,1232	0,358892	0,5340356	651,5126	3,858449	0	0	689	-353						No media	0	1280	1024	0	0	690	-357	199	0	Content		689	-353	59719	2885879773	
80	13:06:22.517	00:00:00.079	3	682,5634	-325,5202	0,5968608	0,5304793	644,5695	3,860619	0	714,508	-405,5822	0,3575749	0,535034	651,8647	3,773877	0	0	699	-366						No media	0	1280	1024	0	0	690	-357	199	0	Content		699	-366	79735	2885899789	
100	13:06:22.537	00:00:00.099	4	696,8544	-323,8908	0,5958374	0,5312268	644,5717	3,94085	0	695,9042	-432,0222	0,3565641	0,5363683	651,8657	3,858338	0	0	696	-378						No media	0	1280	1024	0	0	690	-357	199	0	Content		696	-378	99587	2885919641	
120	13:06:22.557	00:00:00.119	5	684,7911	-309,5769	0,5951814	0,531761	644,5742	3,880693	0	688,9536	-394,3013	0,3559474	0,5376549	651,8668	3,949929	0	0	687	-352						No media	0	1280	1024	0	0	690	-357	199	0	Content		687	-352	119609	2885939663	
139	13:06:22.576	00:00:00.139	6	673,8872	-286,1566	0,5949223	0,5326032	644,5775	3,929372	0	693,2361	-402,7153	0,3557488	0,539418	651,868	3,881305	0	0	684	-344						No media	0	1280	1024	0	0	690	-357	199	0	Content		684	-344	139456	2885959510	
159	13:06:22.596	00:00:00.159	7	701,7134	-313,3601	0,5950876	0,533353	645,6657	3,893431	0	676,7233	-407,6378	0,3559559	0,5411594	651,8698	3,842543	0	0	689	-360						No media	0	1280	1024	0	0	690	-357	199	0	Content		689	-360	159483	2885979537	
179	13:06:22.616	00:00:00.179	8	-1280	-1024	0,5956901	0,5340783	-1	-1	4	-1280	-1024	0,3566686	0,5424692	-1	-1	4	0	0	0						No media	0	1280	1024	0	0	690	-357	199	0	Content		0	0	179318	2885999372	
199	13:06:22.636	00:00:00.199	9	626,9894	117,4313	0,5966327	0,5371031	646,5339	3,992845	0	581,7618	64,40627	0,3589779	0,5465438	649,4572	3,841306	0	1	604	91						No media	0	1280	1024	0	0	595	542	239	0	Content		604	91	199322	2886019376	
219	13:06:22.656	00:00:00.219	10	600,4195	433,811	0,597571	0,5414831	648,1421	4,067507	0	592,9949	409,4315	0,3606859	0,5509804	650,0747	3,879047	0	1	597	422						No media	0	1280	1024	0	0	595	542	239	0	Content		597	422	219213	2886039267	
239	13:06:22.676	00:00:00.239	11	608,6774	548,1765	0,5993609	0,5426636	647,1043	4,02612	0	592,1266	492,6519	0,361734	0,5526214	650,0684	3,890105	0	1	600	520						No media	0	1280	1024	0	0	595	542	239	0	Content		600	520	239085	2886059139	
259	13:06:22.696	00:00:00.259	12	599,2174	558,678	0,600942	0,5431262	647,1132	3,98419	0	586,4276	507,9859	0,3629497	0,553247	651,0383	3,988771	0	1	593	533						No media	0	1280	1024	0	0	595	542	239	0	Content		593	533	259078	2886079132	
279	13:06:22.716	00:00:00.279	13	615,514	535,3356	0,6022086	0,5431528	647,1239	4,05503	0	585,7531	500,8666	0,3641509	0,5532817	653,9322	3,94812	0	1	601	518						No media	0	1280	1024	0	0	595	542	239	0	Content		601	518	279072	2886099126	
299	13:06:22.736	00:00:00.298	14	604,0044	571,8791	0,6033826	0,5428465	638,8016	4,021132	0	566,3976	520,1473	0,3652859	0,5532038	656,3685	3,992448	0	1	585	546						No media	0	1280	1024	0	0	595	542	239	0	Content		585	546	298952	2886119006	
319	13:06:22.756	00:00:00.318	15	600,3292	596,5439	0,604523	0,5424417	630,9714	3,961128	0	589,0413	489,573	0,3664342	0,5530756	656,4305	3,99094	0	1	595	543						No media	0	1280	1024	0	0	595	542	239	0	Content		595	543	318969	2886139023	
339	13:06:22.776	00:00:00.338	16	608,1807	601,4941	0,6056864	0,5419299	624,0129	3,940334	0	583,768	511,2462	0,3675511	0,5527884	660,0945	4,009292	0	1	596	556						No media	0	1280	1024	0	0	595	542	239	0	Content		596	556	338821	2886158875	
353	13:06:22.790																				ImageStart	8	0	0	eyetracking_anweisung_ameliekirchmeyer.png																	
359	13:06:22.796	00:00:00.358	17	595,2664	591,8086	0,6067718	0,5413212	621,6156	3,868416	0	586,84	517,8022	0,3686323	0,5524044	657,477	3,905805	0	1	591	555						eyetracking_anweisung_ameliekirchmeyer.png	0	1280	1024	0	0	595	542	239	0	Content		591	555	358705	2886178759	
379	13:06:22.816	00:00:00.378	18	576,3758	588,766	0,6076055	0,5407741	620,5466	3,908156	0	590,4974	495,0818	0,3696357	0,5522192	659,3841	3,998689	0	1	583	542						eyetracking_anweisung_ameliekirchmeyer.png	0	1280	1024	0	0	595	542	239	0	Content		583	542	378681	2886198735	
399	13:06:22.836	00:00:00.398	19	561,3156	591,2297	0,6084624	0,5404295	620,5507	3,847286	0	568,8253	506,848	0,3705493	0,5520322	659,4006	4,026132	0	1	565	549						eyetracking_anweisung_ameliekirchmeyer.png	0	1280	1024	0	0	595	542	239	0	Content		565	549	398545	2886218599	
419	13:06:22.856	00:00:00.418	20	598,3282	634,324	0,6094608	0,5403882	621,619	3,951927	0	567,5466	514,091	0,371413	0,5521151	661,3221	3,916354	0	1	583	574						eyetracking_anweisung_ameliekirchmeyer.png	0	1280	1024	0	0	595	542	239	0	Content		583	574	418561	2886238615	
439	13:06:22.876	00:00:00.438	21	633,6398	556,5449	0,6095194	0,5406543	621,9078	4,0385	0	678,4375	507,6078	0,3716899	0,5522969	661,3702	4,101045	0	2	656	532						eyetracking_anweisung_ameliekirchmeyer.png	0	1280	1024	0	0	658	501	159	0	Content		656	532	438534	2886258588	
458	13:06:22.895	00:00:00.458	22	628,7465	582,6395	0,6099471	0,5410533	629,0413	3,948526	0	685,4614	438,9914	0,3723426	0,5528203	661,4233	4,079571	0	2	657	511						eyetracking_anweisung_ameliekirchmeyer.png	0	1280	1024	0	0	658	501	159	0	Content		657	511	458409	2886278463	
478	13:06:22.915	00:00:00.478	23	634,9689	544,4472	0,6107702	0,5419295	636,136	4,025896	0	673,7122	499,4531	0,3731202	0,5533556	658,6127	3,996521	0	2	654	522						eyetracking_anweisung_ameliekirchmeyer.png	0	1280	1024	0	0	658	501	159	0	Content		654	522	478309	2886298363	
498	13:06:22.935	00:00:00.498	24	637,2714	498,7415	0,6112137	0,5424144	645,9321	4,110038	0	691,4509	502,4834	0,373543	0,5533338	657,1062	3,963948	0	2	664	501						eyetracking_anweisung_ameliekirchmeyer.png	0	1280	1024	0	0	658	501	159	0	Content		664	501	498285	2886318339	
518	13:06:22.955	00:00:00.518	25	645,0823	505,4213	0,6110412	0,5425407	652,8434	4,101713	0	671,0522	479,3786	0,3733222	0,5527924	657,0326	3,961399	0	2	658	492						eyetracking_anweisung_ameliekirchmeyer.png	0	1280	1024	0	0	658	501	159	0	Content		658	492	518191	2886338245	
