Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
17	14:37:15.376	00:00:00.017	0	630,2711	315,9948	0,6358925	0,3042837	693,0518	3,81559	0	646,3735	318,561	0,375759	0,3101471	696,3912	3,840127	0	0	638	317						No media	0	1280	1024	0	0	650	328	795	0	Content		638	317	17196	368583115	
37	14:37:15.396	00:00:00.037	1	619,8772	322,3088	0,6358174	0,3043774	693,0518	3,80807	0	654,5246	324,2791	0,3757305	0,3101786	696,3912	3,886728	0	0	637	323						No media	0	1280	1024	0	0	650	328	795	0	Content		637	323	37065	368602984	
57	14:37:15.416	00:00:00.057	2	632,4906	350,9333	0,63578	0,3044532	693,0518	3,868851	0	663,6801	354,5182	0,3756818	0,3102357	696,3912	3,852187	0	0	648	353						No media	0	1280	1024	0	0	650	328	795	0	Content		648	353	57073	368622992	
77	14:37:15.436	00:00:00.076	3	630,7086	359,2052	0,6357477	0,3048583	692,5906	3,860949	0	666,8347	362,9425	0,3756271	0,3104088	693,929	3,858492	0	0	649	361						No media	0	1280	1024	0	0	650	328	795	0	Content		649	361	76933	368642852	
97	14:37:15.456	00:00:00.096	4	634,1886	310,7953	0,6357656	0,3049994	692,5906	3,841636	0	662,605	337,0233	0,3756555	0,3102541	693,929	3,881112	0	0	648	324						No media	0	1280	1024	0	0	650	328	795	0	Content		648	324	96940	368662859	
117	14:37:15.476	00:00:00.116	5	627,739	317,0405	0,6358553	0,3051575	692,5906	3,859078	0	666,6418	342,77	0,3757181	0,3101958	693,929	3,852344	0	0	647	330						No media	0	1280	1024	0	0	650	328	795	0	Content		647	330	116850	368682769	
137	14:37:15.496	00:00:00.136	6	630,2199	319,8188	0,6359588	0,3052636	692,5906	3,817059	0	659,8351	344,7188	0,3757353	0,3101726	693,929	3,889308	0	0	645	332						No media	0	1280	1024	0	0	650	328	795	0	Content		645	332	136852	368702771	
157	14:37:15.516	00:00:00.156	7	625,5013	319,742	0,6360793	0,3053449	692,5906	3,967024	0	648,2872	339,1156	0,3757671	0,3101477	693,929	3,878094	0	0	637	329						No media	0	1280	1024	0	0	650	328	795	0	Content		637	329	156725	368722644	
177	14:37:15.536	00:00:00.176	8	625,8212	318,4026	0,6361717	0,3054465	693,6891	3,981792	0	648,1094	341,1378	0,3759217	0,3100835	694,5491	3,876049	0	0	637	330						No media	0	1280	1024	0	0	650	328	795	0	Content		637	330	176711	368742630	
197	14:37:15.556	00:00:00.196	9	640,73	321,1205	0,6363136	0,3054087	693,6891	3,906184	0	663,6633	314,3436	0,3759318	0,3099177	694,5491	3,909235	0	0	652	318						No media	0	1280	1024	0	0	650	328	795	0	Content		652	318	196593	368762512	
